Rights
Creative Commons Attribution 3.0 New Zealand licence 
Creative Commons Attribution-Noncommercial 3.0 New Zealand licence 
Creative Commons Attribution-No Derivative Works 3.0 New Zealand licence 
Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 New Zealand licence 
Creative Commons Attribution-Share Alike 3.0 New Zealand licence 
Creative Commons Attribution-Noncommercial-Share Alike 3.0 New Zealand licence 
Other licensing (check with source agency) 
Copyright and either not yet licensed for re-use or application of generic website licensing statement to dataset unclear (check with source agency) 
No known New Zealand copyright-related restrictions on re-use
