title	url	agency	description	instant_access	license	cost	format
Hydro Lake Level Data	http://cat.open.org.nz/2009/06/27/hydro-lake-level-data/	Electricity Commission			Crown Copyright		[xls](http://www.electricitycommission.govt.nz/pdfs/opdev/modelling/pdfsmodelling/pdfscds/hydro/PowerArchiveData.xls)
Insolvency and Trustee Service	http://cat.open.org.nz/2009/07/14/insolvency-and-trustee-service/	Ministry of Economic Development			Restrictive		[api](http://www.insolvency.govt.nz/cms/customer-support/news-and-public-notices/important-announcements/web-service-now-available-for-insolvency-and-trustee-service/view)
Intellectual Property Office Register Search	http://cat.open.org.nz/2009/06/07/intellectual-property-office-register-search/	Ministry of Economic Development			Restrictive		[api](http://www.companies.govt.nz/cms/how-do-i/search-the-register/connect-direct/get-connected?searchterm=g2b)
Interest Rates	http://cat.open.org.nz/2009/08/12/interest-rates/	Reserve Bank of New Zealand			Unknown		[xls](http://www.rbnz.govt.nz/statistics/exandint/b2/index.html)
International position	http://cat.open.org.nz/2009/08/12/international-position/	Reserve Bank of New Zealand			Unknown		[xls](http://www.rbnz.govt.nz/statistics/extfin/index.html)
International position	http://cat.open.org.nz/2009/08/12/international-position-2/						
Land Cover Database	http://cat.open.org.nz/2009/07/01/land-cover-database/	Ministry for the Environment			Creative Commons		[geo](http://www.mfe.govt.nz/issues/land/land-cover-dbase/index.html),[api](http://www.mfe.govt.nz/issues/land/land-cover-dbase/index.html)
Landonline Bulk Data Extract	http://cat.open.org.nz/2009/06/17/landonline-bulk-data-extract/	Land Information New Zealand			Crown Copyright		
List of Electricity Generation Projects	http://cat.open.org.nz/2009/06/27/list-of-electricity-generation-projects/	Electricity Commission			Crown Copyright		[xls](http://www.electricitycommission.govt.nz/opdev/modelling/generation/index.html)
Long-term data series (Treasury)	http://cat.open.org.nz/2009/06/12/long-term-data-series-treasury/	Statistics New Zealand			Crown Copyright		[xls](http://www.stats.govt.nz/tables/ltds/default.htm)
Manukau City Food Premises	http://cat.open.org.nz/2009/07/02/manukau-city-food-premises/	Manukau City Council			No license		[other](http://www.manukau.govt.nz/default.aspx?id=425&)
Market Rent	http://cat.open.org.nz/2009/06/04/market-rent/	Department of Building and Housing			Creative Commons		
Metlink Google Transit Feed	http://cat.open.org.nz/2010/01/12/metlink-google-transit-feed/	Wellington Regional Council (Greater Wellington - The Regional Council)			No license		[other](http://www.metlink.org.nz/googletransit/google_transit.zip)
Ministry of Fisheries Science Research Documents	http://cat.open.org.nz/2009/06/27/ministry-of-fisheries-science-research-documents/	Ministry of Fisheries			Crown Copyright		[other](http://fpcs.fish.govt.nz/science/ResearchDocuments.aspx)
Money, credit &amp; financial statistics	http://cat.open.org.nz/2009/08/12/money-credit-financial-statistics/	Reserve Bank of New Zealand			Unknown		[xls](http://www.rbnz.govt.nz/statistics/monfin/index.html)
